date,deaths_0044,deaths_4564,deaths_6574,deaths_7584,deaths_85p,tmean,year,dow
2011-01-01,2,2,2,5,3,4.56,2011,Saturday
2011-01-02,0,1,5,4,7,5.37,2011,Sunday
2011-01-03,0,3,3,0,9,2.38,2011,Monday
2011-01-04,0,0,4,6,9,-0.72,2011,Tuesday
2011-01-05,0,0,0,12,7,0.34,2011,Wednesday
2011-01-06,0,0,2,3,7,4.62,2011,Thursday
2011-01-07,1,1,5,3,8,9.62,2011,Friday
2011-01-08,0,0,0,2,9,9.14,2011,Saturday
2011-01-09,0,2,1,7,9,7.33,2011,Sunday
2011-01-10,0,1,0,6,12,8.21,2011,Monday
2011-01-11,1,2,2,3,7,6.86,2011,Tuesday
2011-01-12,0,0,0,4,7,6.13,2011,Wednesday
2011-01-13,0,0,2,3,8,4.49,2011,Thursday
2011-01-14,0,1,1,2,10,5.55,2011,Friday
2011-01-15,0,1,2,5,6,6.82,2011,Saturday
2011-01-16,0,0,1,2,7,6.29,2011,Sunday
2011-01-17,0,2,1,8,10,5.19,2011,Monday
2011-01-18,0,1,3,6,6,6.04,2011,Tuesday
2011-01-19,0,0,2,3,6,5.68,2011,Wednesday
2011-01-20,2,1,1,3,2,3.27,2011,Thursday
2011-01-21,0,0,2,4,6,1.69,2011,Friday
2011-01-22,0,0,1,7,6,0.46,2011,Saturday
2011-01-23,0,1,0,3,6,-0.78,2011,Sunday
2011-01-24,0,1,2,9,11,0.4,2011,Monday
2011-01-25,0,2,2,5,3,0.57,2011,Tuesday
2011-01-26,0,3,2,8,4,2.13,2011,Wednesday
2011-01-27,0,1,0,5,2,3.14,2011,Thursday
2011-01-28,0,1,2,3,5,3.44,2011,Friday
2011-01-29,1,0,1,2,9,2.32,2011,Saturday
2011-01-30,0,1,3,7,8,2.41,2011,Sunday
2011-01-31,1,1,0,5,4,3.6,2011,Monday
2011-02-01,0,3,2,5,9,3.09,2011,Tuesday
2011-02-02,0,3,1,5,6,2.4,2011,Wednesday
2011-02-03,0,0,2,5,14,2.33,2011,Thursday
2011-02-04,0,1,1,4,11,5.54,2011,Friday
2011-02-05,0,0,1,5,3,7.47,2011,Saturday
2011-02-06,2,0,2,5,5,7.76,2011,Sunday
2011-02-07,1,2,1,1,7,7.76,2011,Monday
2011-02-08,0,0,2,4,7,6.2,2011,Tuesday
2011-02-09,1,0,3,6,8,5.61,2011,Wednesday
2011-02-10,0,2,3,4,10,5.53,2011,Thursday
2011-02-11,1,0,0,2,11,5.09,2011,Friday
2011-02-12,0,2,0,5,8,6.58,2011,Saturday
2011-02-13,0,0,1,4,6,6.92,2011,Sunday
2011-02-14,0,0,1,5,6,7.43,2011,Monday
2011-02-15,0,0,0,5,6,7.24,2011,Tuesday
2011-02-16,0,1,1,5,9,7.24,2011,Wednesday
2011-02-17,0,1,2,3,5,7.65,2011,Thursday
2011-02-18,1,0,0,1,4,6.92,2011,Friday
2011-02-19,1,0,1,3,5,8.04,2011,Saturday
2011-02-20,0,1,4,2,2,6.15,2011,Sunday
2011-02-21,0,0,0,4,10,5.64,2011,Monday
2011-02-22,0,1,2,2,7,4.06,2011,Tuesday
2011-02-23,1,0,3,7,8,2.35,2011,Wednesday
2011-02-24,0,0,1,3,1,1,2011,Thursday
2011-02-25,0,4,1,1,8,2.08,2011,Friday
2011-02-26,1,0,4,4,8,2.42,2011,Saturday
2011-02-27,0,1,1,2,6,2.83,2011,Sunday
2011-02-28,0,2,1,2,6,4.32,2011,Monday
2011-03-01,0,1,2,2,12,3.32,2011,Tuesday
2011-03-02,0,4,1,8,7,1.19,2011,Wednesday
2011-03-03,0,2,0,1,7,1.49,2011,Thursday
2011-03-04,0,1,0,5,7,4.37,2011,Friday
2011-03-05,0,1,1,7,7,4.62,2011,Saturday
2011-03-06,0,2,3,3,5,7.68,2011,Sunday
2011-03-07,0,0,2,5,6,3.37,2011,Monday
2011-03-08,0,2,0,3,11,1.87,2011,Tuesday
2011-03-09,1,1,1,4,7,3.39,2011,Wednesday
2011-03-10,0,1,2,3,10,4.33,2011,Thursday
2011-03-11,0,1,0,5,8,5.58,2011,Friday
2011-03-12,0,2,2,2,3,6.38,2011,Saturday
2011-03-13,0,2,2,3,4,6.87,2011,Sunday
2011-03-14,3,0,1,6,8,10.62,2011,Monday
2011-03-15,0,1,2,3,6,11.95,2011,Tuesday
2011-03-16,0,0,2,6,6,11.22,2011,Wednesday
2011-03-17,0,2,1,4,4,9.84,2011,Thursday
2011-03-18,1,2,2,7,7,10.97,2011,Friday
2011-03-19,0,1,2,1,6,8.68,2011,Saturday
2011-03-20,0,0,2,3,3,7.26,2011,Sunday
2011-03-21,0,0,0,2,10,5.98,2011,Monday
2011-03-22,0,2,2,2,7,6.97,2011,Tuesday
2011-03-23,1,2,4,6,7,8.07,2011,Wednesday
2011-03-24,0,3,0,1,5,11.7,2011,Thursday
2011-03-25,0,2,2,7,8,10.91,2011,Friday
2011-03-26,0,2,2,2,2,9.17,2011,Saturday
2011-03-27,0,1,2,2,5,9.3,2011,Sunday
2011-03-28,0,0,3,10,6,10.58,2011,Monday
2011-03-29,0,0,1,6,8,11.86,2011,Tuesday
2011-03-30,1,0,1,3,4,11.5,2011,Wednesday
2011-03-31,1,2,1,2,4,12.48,2011,Thursday
2011-04-01,0,2,2,2,7,15.14,2011,Friday
2011-04-02,0,0,1,2,7,15.57,2011,Saturday
2011-04-03,0,0,1,1,5,13.27,2011,Sunday
2011-04-04,0,0,1,4,3,12.71,2011,Monday
2011-04-05,0,1,0,3,7,12.78,2011,Tuesday
2011-04-06,1,0,2,4,6,13.9,2011,Wednesday
2011-04-07,0,0,1,5,0,15.99,2011,Thursday
2011-04-08,0,1,3,4,3,14.7,2011,Friday
2011-04-09,0,0,1,2,4,16.31,2011,Saturday
2011-04-10,0,0,3,3,6,16.75,2011,Sunday
2011-04-11,0,1,0,3,7,16.18,2011,Monday
2011-04-12,0,1,1,0,7,15.05,2011,Tuesday
2011-04-13,1,0,1,4,7,11.62,2011,Wednesday
2011-04-14,0,1,2,4,6,9.54,2011,Thursday
2011-04-15,0,0,2,1,3,9.26,2011,Friday
2011-04-16,0,1,0,1,13,9.63,2011,Saturday
2011-04-17,0,1,1,1,9,9.9,2011,Sunday
2011-04-18,0,0,2,3,4,10.65,2011,Monday
2011-04-19,0,0,2,1,6,11.57,2011,Tuesday
2011-04-20,0,1,1,4,5,13.65,2011,Wednesday
2011-04-21,0,0,1,3,8,14.95,2011,Thursday
2011-04-22,0,1,0,3,10,15.09,2011,Friday
2011-04-23,0,0,4,4,8,13.94,2011,Saturday
2011-04-24,0,1,0,4,4,14.76,2011,Sunday
2011-04-25,0,2,2,4,8,14.88,2011,Monday
2011-04-26,0,2,2,4,5,14.59,2011,Tuesday
2011-04-27,0,0,3,4,6,13.14,2011,Wednesday
2011-04-28,0,0,1,1,6,12.07,2011,Thursday
2011-04-29,0,1,1,7,2,12.39,2011,Friday
2011-04-30,0,1,2,2,7,13.09,2011,Saturday
2011-05-01,0,0,1,3,4,15.78,2011,Sunday
2011-05-02,0,0,1,4,6,15.61,2011,Monday
2011-05-03,0,0,1,5,5,15.98,2011,Tuesday
2011-05-04,0,2,2,1,9,13.55,2011,Wednesday
2011-05-05,0,1,4,4,5,12.59,2011,Thursday
2011-05-06,0,2,3,4,5,14.68,2011,Friday
