sc,model,coef,true,meanest,bias,empse,mse,modse,seerr,cover,becover
1,cirls,1,5,5.03512991626538,0.0351299162653751,0.712956326508103,0.509490003852391,0.713993703972805,0.14550364813819,0.947,0.9484
1,cirls,2,-1,0.0262439856890949,1.0262439856891,0.123613676747706,1.06845553120802,0.318287896107127,157.485987377228,0,0.9431
1,cirls,3,1,0.430753415585077,-0.569246584414923,0.833105566181253,1.0180371517818,0.846214576466994,1.57351130731602,0.8538,0.9469
1,glm,1,5,4.9955743449005,-0.00442565509950033,0.713308093314458,0.508777141567369,0.714445737904879,0.159488529722696,0.9472,0.9472
1,glm,2,-1,-1.0239740020744,-0.0239740020744021,0.726194458366588,0.527880408298669,0.731210324354594,0.690705627152211,0.9487,0.9499
1,glm,3,1,0.993538066128802,-0.00646193387119764,0.917069148715807,0.840973478533339,0.916845419140783,-0.0243961510794755,0.9509,0.9506
2,cirls,1,5,4.99395137138956,-0.00604862861044353,0.317110208612453,0.10058541442586,0.316612884067874,-0.156830190599888,0.9475,0.9474
2,cirls,2,-1,0.000359749422985293,1.00035974942299,0.00850563906927116,1.00079196692701,0.108165003718281,1171.68579382889,0,0
2,cirls,3,1,0.502908915700667,-0.497091084299333,0.32082774611321,0.350019695721702,0.326602599751722,1.79998572706823,0.6056,0.9508
2,glm,1,5,4.99682421225289,-0.00317578774710636,0.317103379367281,0.100554583378644,0.316648381287151,-0.143485724131376,0.9476,0.9471
2,glm,2,-1,-0.993739696776825,0.00626030322317483,0.358032366759046,0.128213548325966,0.358454611144787,0.117934696676469,0.9508,0.9507
2,glm,3,1,1.00055720945439,0.000557209454388641,0.368423990305403,0.135722973491268,0.368677021398101,0.0686793203908076,0.9497,0.9498
3,cirls,1,5,5.10855650771362,0.108556507713624,0.706092651962563,0.510301491839187,0.708024958170257,0.273661849096385,0.9401,0.9445
3,cirls,2,-0.9,0.0440349681616467,0.944034968161647,0.163170272080409,0.917823896348987,0.357188230170309,118.905212092978,0,0.9678
3,cirls,3,1,0.462641822443515,-0.537358177556485,0.638972632051432,0.696999006895111,0.657643146132918,2.92195833513924,0.7945,0.9394
3,glm,1,5,4.99711166579257,-0.00288833420742751,0.711925312475523,0.506795309252811,0.712508412760617,0.0819046991131556,0.9443,0.9442
3,glm,2,-0.9,-0.907774974364914,-0.00777497436491359,0.766048616039149,0.586832249313657,0.771012447966857,0.647978708371433,0.9493,0.949
3,glm,3,1,1.00074187910129,0.000741879101285647,0.771718002360738,0.595489670684732,0.762659822306069,-1.1737681415956,0.9452,0.9452
4,cirls,1,5,4.98044228340174,-0.019557716598265,0.316402452172859,0.100483004968362,0.316370805229724,-0.0100021168982556,0.9481,0.9493
4,cirls,2,-0.9,0.000733991873563867,0.900733991873564,0.0145368957221238,0.811533024321588,0.116148024470696,698.987807926076,0,0
4,cirls,3,1,0.53308683204024,-0.46691316795976,0.317681987764936,0.318919659579965,0.318805336631046,0.35360798199886,0.6129,0.9451
4,glm,1,5,5.00708028308526,0.00708028308525765,0.316749185424658,0.100370143871105,0.316541314544592,-0.0656263345358066,0.9489,0.9494
4,glm,2,-0.9,-0.899072453961709,0.000927546038291038,0.357904944384431,0.128083999961555,0.359547592438223,0.458962101408411,0.9507,0.9508
4,glm,3,1,1.00068279092599,0.000682790925985222,0.370274989535839,0.137090323722427,0.364578299790179,-1.53850243917388,0.9456,0.9454
5,cirls,1,5,5.11147473752392,0.111474737523918,0.727709440023365,0.541934690102235,0.710810755233951,-2.3221747389825,0.9382,0.9407
5,cirls,2,-0.8,0.0787858190972748,0.878785819097275,0.239371341928927,0.82955742531939,0.417004881863487,74.2083569833945,0,0.9778
5,cirls,3,1,0.610322237984663,-0.389677762015337,0.666294736096858,0.595753038692129,0.679339331014187,1.95778147576902,0.8638,0.9428
5,glm,1,5,5.00220587244186,0.00220587244186188,0.733551982773496,0.538049567453015,0.716622607852382,-2.30786301702924,0.942,0.9419
5,glm,2,-0.8,-0.797530945498018,0.0024690545019822,0.837557825693748,0.701439057299834,0.84406674920489,0.777131239356654,0.9463,0.9462
