sc,model,df,true,mean,bias,se,mse
1,cirls,o,2.08329700123044,2.079,-0.00429700123043775,0.26975225045894,1.0641834617587
1,cirls,e,2.08329700123044,2.15975845,0.0764614487695621,0.193880323036051,1.19635507138966
1,glm,o,2.9908173510405,3,0.00918264895950394,0,1.01844961896092
1,glm,e,2.9908173510405,NA,NA,NA,NA
2,cirls,o,2.00277660607756,2.0026,-0.000176606077560759,0.0509264111236497,1.00224005903458
2,cirls,e,2.00277660607756,2.02487706,0.0221004539224392,0.0639464523537722,1.04877807776221
2,glm,o,2.99784144098366,3,0.00215855901634088,0,1.00432177740971
2,glm,e,2.99784144098366,NA,NA,NA,NA
3,cirls,o,2.12903875008394,2.1173,-0.0117387500839428,0.321793513151696,1.08020100808565
3,cirls,e,2.12903875008394,2.20105961,0.0720208599160572,0.216941847945911,1.19628778310881
3,glm,o,2.99956277520013,3,0.000437224799867852,0,1.00087464076526
3,glm,e,2.99956277520013,NA,NA,NA,NA
4,cirls,o,2.03840863544285,2.0057,-0.0327086354428476,0.0752866310023285,0.941320093946838
4,cirls,e,2.03840863544285,2.03810694,-0.000301695442847638,0.0823354977227619,1.00617515640628
4,glm,o,3.02329943376537,3,-0.0232994337653731,0,0.953943996083041
4,glm,e,3.02329943376537,NA,NA,NA,NA
5,cirls,o,2.24132867090661,2.1658,-0.0755286709066132,0.371919604779369,0.992957598315693
5,cirls,e,2.24132867090661,2.24991888,0.00859020909338692,0.240972041307731,1.07531592781859
5,glm,o,3.04793875793116,3,-0.047938757931163,0,0.906420608649657
5,glm,e,3.04793875793116,NA,NA,NA,NA
6,cirls,o,1.97746743321234,2.013,0.0355325667876634,0.113279668203623,1.08515869687785
6,cirls,e,1.97746743321234,2.05959109,0.0821236567876635,0.109188435033416,1.18291253071312
6,glm,o,2.97639843975452,3,0.0236015602454818,0,1.04776015413698
6,glm,e,2.97639843975452,NA,NA,NA,NA
7,cirls,o,2.17722566142244,2.1965,0.0192743385775604,0.397370784474696,1.19680792728272
7,cirls,e,2.17722566142244,2.27403725,0.0968115885775607,0.249868130392205,1.26542350001547
7,glm,o,2.96760020081704,3,0.0323997991829588,0,1.06584934535301
7,glm,e,2.96760020081704,NA,NA,NA,NA
8,cirls,o,2.03825193190233,2.0291,-0.00915193190232877,0.168095257522514,1.01003308405289
8,cirls,e,2.03825193190233,2.08895482,0.0507028880976712,0.139322843562143,1.12338547270955
8,glm,o,3.00691870551407,3,-0.00691870551406737,0,0.986210457457856
8,glm,e,3.00691870551407,NA,NA,NA,NA
9,cirls,o,2.23762892239338,2.2169,-0.0207289223933764,0.412154554915645,1.12882623343684
9,cirls,e,2.23762892239338,2.29113057,0.0535016476066237,0.2540149967036,1.17438288769835
9,glm,o,3.00301269911308,3,-0.00301269911308388,0,0.993983678129778
9,glm,e,3.00301269911308,NA,NA,NA,NA
10,cirls,o,2.03374798496235,2.0505,0.016752015037651,0.218985263099016,1.08173441008312
10,cirls,e,2.03374798496235,2.12522308,0.0914750950376511,0.168853861140205,1.21982665834676
10,glm,o,2.97519168428786,3,0.0248083157121357,0,1.05023208395274
10,glm,e,2.97519168428786,NA,NA,NA,NA
11,cirls,o,2.24620941366428,2.2851,0.0388905863357167,0.45148463300248,1.28311164037697
11,cirls,e,2.24620941366428,2.33956622,0.0933568063357169,0.269718975430878,1.26817015683555
11,glm,o,2.9536740026134,3,0.0463259973865986,0,1.09479809280706
11,glm,e,2.9536740026134,NA,NA,NA,NA
12,cirls,o,2.10738891147738,2.0884,-0.0189889114773765,0.283889942319088,1.04296819580434
12,cirls,e,2.10738891147738,2.17017912,0.0627902085226233,0.201100364698063,1.16996033987759
12,glm,o,3.0221731041661,3,-0.0221731041661015,0,0.956145438216158
12,glm,e,3.0221731041661,NA,NA,NA,NA
13,cirls,o,2.34016884610452,2.315,-0.0251688461045201,0.464539104551991,1.16607077860519
13,cirls,e,2.34016884610452,2.36418067,0.0240118238954801,0.276098880915072,1.1248231844611
13,glm,o,3.0399796504037,3,-0.0399796504037044,0,0.921639071638993
13,glm,e,3.0399796504037,NA,NA,NA,NA
14,cirls,o,2.1846305423787,2.1382,-0.0464305423786984,0.345127036418659,1.02839547050818
14,cirls,e,2.1846305423787,2.22342842,0.0387978776213016,0.228965434175791,1.13152095808082
14,glm,o,3.04589792417669,3,-0.0458979241766921,0,0.910310771090345
14,glm,e,3.04589792417669,NA,NA,NA,NA
15,cirls,o,2.3721859592852,2.3513,-0.020885959285196,0.477400357258047,1.18655261472487
15,cirls,e,2.3721859592852,2.39278484,0.0205988807148039,0.280976111044466,1.12056175553648
15,glm,o,3.03061456719576,3,-0.0306145671957641,0,0.939708117333056
15,glm,e,3.03061456719576,NA,NA,NA,NA
16,cirls,o,2.20683549905428,2.2077,0.000864500945715552,0.405681115800048,1.16629045925332
16,cirls,e,2.20683549905428,2.28005811,0.0732226109457157,0.253141767007438,1.21588111877337
16,glm,o,3.0061427177102,3,-0.00614271771019848,0,0.98775229756047
16,glm,e,3.0061427177102,NA,NA,NA,NA
17,cirls,o,2.39071557107119,2.4074,0.0166844289288086,0.49137499421368,1.2750724680263
17,cirls,e,2.39071557107119,2.43543586,0.0447202889288087,0.284037200727651,1.17210954578355
17,glm,o,2.96923281285979,3,0.0307671871402069,0,1.06248099408493
17,glm,e,2.96923281285979,NA,NA,NA,NA
18,cirls,o,2.33144250595674,2.3036,-0.0278425059567402,0.459834953889417,1.15651723322447
18,cirls,e,2.33144250595674,2.35678242,0.02533991404326,0.275228943100205,1.12706533535318
18,glm,o,3.0359708947337,3,-0.0359708947337007,0,0.929352115800541
18,glm,e,3.0359708947337,NA,NA,NA,NA
19,cirls,o,2.42656153390217,2.439,0.0124384660978261,0.496289865263272,1.27131064763452
19,cirls,e,2.42656153390217,2.45742096,0.0308594260978259,0.287077066117911,1.14507615694142
19,glm,o,2.97626226294148,3,0.0237377370585161,0,1.04803895427769
19,glm,e,2.97626226294148,NA,NA,NA,NA
20,cirls,o,2.41536228329308,2.393,-0.0223622832930834,0.488441252850073,1.19432650512791
20,cirls,e,2.41536228329308,2.42611194,0.010749656706917,0.283201934529071,1.10181018392059
20,glm,o,3.00421787414762,3,-0.00421787414762198,0,0.991582042167081
20,glm,e,3.00421787414762,NA,NA,NA,NA
21,cirls,o,2.47008038643673,2.4999,0.0298196135632693,0.500024991874656,1.3105284264796
21,cirls,e,2.47008038643673,2.49976965,0.0296892635632697,0.287567382552035,1.14294670950535
21,glm,o,2.96295107117463,3,0.0370489288253655,0,1.07547048077784
21,glm,e,2.96295107117463,NA,NA,NA,NA
22,cirls,o,2.50576076288276,2.5,-0.00576076288275651,0.500025001875156,1.23851166062348
22,cirls,e,2.50576076288276,2.50133272,-0.00442804288275633,0.288267965711432,1.07425363201166
22,glm,o,3.00351766133964,3,-0.00351766133963682,0,0.992977051262027
22,glm,e,3.00351766133964,NA,NA,NA,NA
23,cirls,o,2.53953104817297,2.5438,0.0042689518270298,0.498102771159792,1.25663768760376
23,cirls,e,2.53953104817297,2.53446881,-0.00506223817297036,0.287598632040382,1.07260585176356
23,glm,o,2.98145867088201,3,0.0185413291179879,0,1.03742643912144
23,glm,e,2.98145867088201,NA,NA,NA,NA
24,cirls,o,2.57971124967592,2.6055,0.0257887503240828,0.488767469625318,1.29111231029144
24,cirls,e,2.57971124967592,2.57235338,-0.00735786967591734,0.282121898407642,1.06492320517891
24,glm,o,2.96835301273148,3,0.0316469872685241,0,1.06429550634022
24,glm,e,2.96835301273148,NA,NA,NA,NA
25,cirls,o,2.60133137793551,2.6074,0.00606862206449099,0.488353446705243,1.25063931230274
25,cirls,e,2.60133137793551,2.57656445,-0.0247669279355094,0.285687996178197,1.03268901424554
25,glm,o,2.99924050578908,3,0.000759494210916589,0,1.00151956525329
25,glm,e,2.99924050578908,NA,NA,NA,NA
26,cirls,o,2.73788222856956,2.7131,-0.0247822285695642,0.452337098727363,1.15563809171375
26,cirls,e,2.73788222856956,2.65543328,-0.0824489485695641,0.269452086819068,0.91449709862954
26,glm,o,3.01892353316188,3,-0.018923533161884,0,0.962511033783561
26,glm,e,3.01892353316188,NA,NA,NA,NA
27,cirls,o,2.65028838291573,2.6377,-0.0125883829157343,0.480688897501927,1.20602041155296
27,cirls,e,2.65028838291573,2.60087634,-0.0494120429157343,0.284269192343412,0.984418356971842
27,glm,o,3.01996271823555,3,-0.0199627182355457,0,0.96047307364826
27,glm,e,3.01996271823555,NA,NA,NA,NA
28,cirls,o,2.78071010573135,2.786,0.00528989426864523,0.410147317536283,1.17881177151866
28,cirls,e,2.78071010573135,2.7141516,-0.0665585057313547,0.255483106790303,0.936578113915921
28,glm,o,2.99610077746375,3,0.00389922253625308,0,1.00781364900889
28,glm,e,2.99610077746375,NA,NA,NA,NA
29,cirls,o,2.68421455276318,2.6796,-0.00461455276318201,0.466653636610341,1.20853602857084
29,cirls,e,2.68421455276318,2.62801325,-0.0562013027631822,0.276300469851938,0.967090296351352
29,glm,o,3.01077857312307,3,-0.010778573123071,0,0.978559031392427
29,glm,e,3.01077857312307,NA,NA,NA,NA
30,cirls,o,2.89694484274178,2.8587,-0.0382448427417774,0.348348165840534,1.04630729251279
30,cirls,e,2.89694484274178,2.77663339,-0.120311452741777,0.228212325523097,0.82592759761139
30,glm,o,3.03756269976466,3,-0.0375626997646634,0,0.926285556884283
30,glm,e,3.03756269976466,NA,NA,NA,NA
31,cirls,o,2.71514442207546,2.7169,0.00175557792454306,0.450527121790405,1.20646862790294
31,cirls,e,2.71514442207546,2.65566494,-0.0594794820754569,0.271511479457396,0.958289956265847
31,glm,o,3.00950062167781,3,-0.00950062167781018,0,0.981089018456645
31,glm,e,3.00950062167781,NA,NA,NA,NA
32,cirls,o,2.89535555769701,2.913,0.0176444423029944,0.281849150955594,1.11503121095017
32,cirls,e,2.89535555769701,2.83184784,-0.0635077176970054,0.20060976991491,0.917258050170406
32,glm,o,2.98592003764201,3,0.0140799623579877,0,1.02835817005598
32,glm,e,2.98592003764201,NA,NA,NA,NA
33,cirls,o,2.77614000769471,2.7502,-0.0259400076947114,0.432918816719933,1.13619282860978
33,cirls,e,2.77614000769471,2.68024543,-0.0958945776947115,0.265820958295809,0.888060330432939
33,glm,o,3.03539442177914,3,-0.0353944217791393,0,0.930463921534801
33,glm,e,3.03539442177914,NA,NA,NA,NA
34,cirls,o,2.96778287382722,2.9415,-0.0262828738272205,0.234698228211959,1.00320279180218
34,cirls,e,2.96778287382722,2.8656697,-0.10211317382722,0.176368700771342,0.837303560634537
34,glm,o,3.02608576433045,3,-0.0260857643304524,0,0.948508938439799
34,glm,e,3.02608576433045,NA,NA,NA,NA
35,cirls,o,2.82494911950782,2.7914,-0.033549119507819,0.406328131262192,1.09911334440411
35,cirls,e,2.82494911950782,2.71766018,-0.107288939507819,0.254066792351667,0.861476517507442
35,glm,o,3.03855678189204,3,-0.0385567818920425,0,0.924373061645785
35,glm,e,3.03855678189204,NA,NA,NA,NA
36,cirls,o,2.98308245856187,2.9723,-0.0107824585618714,0.16412008877756,1.0054840542889
36,cirls,e,2.98308245856187,2.91241365,-0.0706688085618716,0.139512558280856,0.883118270922489
36,glm,o,3.01159329113054,3,-0.0115932911305352,0,0.976947822138167
36,glm,e,3.01159329113054,NA,NA,NA,NA
37,cirls,o,2.87748512161607,2.8381,-0.0393851216160694,0.368377469718249,1.05846933457257
37,cirls,e,2.87748512161607,2.75802384,-0.119461281616069,0.240233948264279,0.83305501323687
37,glm,o,3.0507312340609,3,-0.0507312340609043,0,0.901111189987534
37,glm,e,3.0507312340609,NA,NA,NA,NA
38,cirls,o,2.98759645821789,2.9852,-0.00239645821789214,0.120757683986669,1.00979378657621
38,cirls,e,2.98759645821789,2.94009915,-0.047497308217892,0.111859354601207,0.919772641812439
38,glm,o,3.00432870079291,3,-0.00432870079291447,0,0.991361336064726
38,glm,e,3.00432870079291,NA,NA,NA,NA
39,cirls,o,2.84871743210404,2.8738,0.0250825678959621,0.332091235143064,1.16106783100418
39,cirls,e,2.84871743210404,2.79453929,-0.0541781421040382,0.222116610824531,0.943909842099065
39,glm,o,2.97517699695606,3,0.0248230030439363,0,1.05026218756799
39,glm,e,2.97517699695606,NA,NA,NA,NA
40,cirls,o,2.98348440629776,2.9938,0.0103155937022414,0.0784995300471395,1.02689915887791
40,cirls,e,2.98348440629776,2.96083882,-0.0226455862977581,0.0829841980422783,0.96210733847026
40,glm,o,2.98919536630185,3,0.0108046336981511,0,1.02172600750565
40,glm,e,2.98919536630185,NA,NA,NA,NA
41,cirls,o,2.89181102606795,2.8726,-0.0192110260679472,0.333437187541827,1.07311625138669
41,cirls,e,2.89181102606795,2.7907513,-0.101059726067947,0.223700320025761,0.858130445093344
41,glm,o,3.02185590635373,3,-0.0218559063537289,0,0.956765867935085
41,glm,e,3.02185590635373,NA,NA,NA,NA
42,cirls,o,2.97802197494947,2.9977,0.0196780250505313,0.0479055267578741,1.04203798477095
42,cirls,e,2.97802197494947,2.97202289,-0.00599908494946888,0.0669699446945952,0.992522344116341
42,glm,o,2.98134083561827,3,0.0186591643817295,0,1.03766649317888
42,glm,e,2.98134083561827,NA,NA,NA,NA
43,cirls,o,1.01168784049543,1.0007,-0.0109878404954333,0.0264495738717243,0.000820242638753083
43,cirls,e,1.01168784049543,2.20020538,1.18851753950457,0.335190929323819,1.52491566551504
43,glm,o,5.14117525948757,5,-0.141175259487567,0,0.0199304538913819
43,glm,e,5.14117525948757,NA,NA,NA,NA
44,cirls,o,0.990701213004046,1,0.00929878699595355,0,8.64674395961147e-05
44,cirls,e,0.990701213004046,2.00468129,1.01398007699595,0.402148845300236,1.18986311795166
44,glm,o,4.98972307551411,5,0.0102769244858862,0,0.000105615176888608
