sc,V1,V2,V3,V4,V5,V6,V7
1,10407,-649059056,-307221112,205752301,-322056397,-2103097269,571380451
1,10407,1891818117,-1558307131,-1641555158,-1844081693,1126810812,-1636896775
1,10407,185743142,1365294141,-1423641471,1208409234,-976046015,1569569177
1,10407,112435994,1977721912,9439164,2097498214,-127489313,-492846296
1,10407,-980134133,1211399793,-871918286,945517160,-760066151,1903325210
1,10407,1323696589,-1343442218,-685095439,110323047,-182487744,-537516753
1,10407,1564756197,-458548471,-521677539,-2084163622,359300688,436408525
1,10407,-1105520441,-1210294216,2139469926,2021741151,-564647350,-1733231947
1,10407,-1547471836,773133545,1816400466,633699942,-293531451,-1164232282
1,10407,-96761715,856367390,-236551270,504219748,609554660,322982511
1,10407,-526092274,1067244047,1415055966,177372529,1560288256,902527014
1,10407,966165341,-481672671,228219843,-579568802,223785296,-404642505
1,10407,-105407691,-1711172168,1378201767,-1168508724,1359365342,-168767399
1,10407,-1993936647,-794422336,-580042199,539295944,-1197079170,1661951547
1,10407,-1968205012,19443332,326852349,1043401165,-1559128634,-1406487366
1,10407,-1354156481,1177436710,-387421715,-825098875,1367903940,-173048458
1,10407,-257323134,1108062482,1968181670,1308029628,-430928863,1157634816
1,10407,-2103716627,1350539480,446865589,-900548509,-1157161508,-1774508667
1,10407,1398796978,-1512438753,-468771860,50658755,1296230020,-991867268
1,10407,-1213121344,-1980405283,158185143,-1238213654,-1322553876,-1348945576
1,10407,416246434,-1928335251,-1613949199,860190379,1146696600,690201697
1,10407,1842405946,247638877,1364650615,-841355565,-915820498,-38925036
1,10407,-1693425551,-207519043,1576933717,-536331759,-661615108,1216844070
1,10407,1781027339,-1240385861,1439497443,-171758870,1884691754,376367503
1,10407,652311177,-1137341882,2032713201,-1316121831,-1236470882,-454332178
1,10407,2083487372,1512160468,1884480977,448689769,1907934511,-953862792
1,10407,-430321916,728526511,866378948,720775007,-1055514098,-1832484102
1,10407,-1154471393,-1014172305,693001768,2047075575,890834090,-465847175
1,10407,1038360955,366283391,1703578021,1161442852,-2067016141,515734216
1,10407,-1080772532,-2021166241,-2090296527,-505389988,1366325439,-1677740275
1,10407,921116382,-1024797181,-1660308033,1682982031,-1518695483,724008829
1,10407,102447720,-2068831524,-1638860307,238435592,1704047869,1433538341
1,10407,-2086290793,-144833961,-1157025284,-498907985,-444451201,1175065445
1,10407,262767881,1165970784,-1529141486,-267261417,65967934,410106075
1,10407,531109683,743406577,1629341584,-497528943,-1213325112,750223244
1,10407,-66288989,-1889295104,1929836546,-641250706,-237027323,1042133444
1,10407,1992625628,1723028915,947423412,1920248107,-916253875,2104808781
1,10407,-14392505,848096186,117263277,1268286633,-1247952879,-216044538
1,10407,-1714852733,-2037107868,-2025751869,-1776753394,1506873721,1886693853
1,10407,80898292,-1614582988,824252809,949272026,1770733256,-1138966401
1,10407,1439381030,902801336,-880102331,1313221405,2138876922,-1673650419
1,10407,2102445402,-1146040917,975082894,-1823295761,-65228008,1321399137
1,10407,844790282,-2077365881,2105632493,-1841296385,376996487,-1520768538
1,10407,-1867434383,-1229826355,-1566768123,-34745027,-1415084331,-1267777118
1,10407,399044550,1501251922,-1410120486,1814811391,1182439277,-1790546636
1,10407,-1821215295,-1833448249,-2144221468,1106417182,-1147692457,2125780137
1,10407,-1966974962,-261288152,-449743872,1817822882,-2002463693,1029247321
1,10407,892982619,-960005346,-934287232,-1203325130,-1646840975,729882946
1,10407,834915342,1530734886,2004313884,541029418,-270782275,493111425
1,10407,713774665,348550588,-698952270,-1271270267,307148529,1343715150
1,10407,-586605033,280662182,-436735468,-543572124,1512233356,542705226
1,10407,-2062424434,-1263684152,-1801218830,1112549080,640652421,944740685
1,10407,1736985548,1057200006,-560395173,800290278,-1341346245,-1019391046
1,10407,555612900,477339879,1375372296,1268167205,593659998,1094039205
1,10407,-164783614,-568952490,292436836,-786494870,-1542492631,-1692648411
1,10407,1106375505,-2069183332,-2038288204,225707475,1147111026,56851867
1,10407,-101190590,-1229296622,1023017396,1206498905,-1824818676,1757608245
1,10407,-848502450,325026810,-208161577,221611099,-1592778259,1897692190
1,10407,173320134,-52116604,1871080969,995172056,-1803415743,-1430430830
1,10407,2108048966,-383624043,-979582498,1517877746,-2104474026,370354057
1,10407,-1489434977,-1283836640,1944113117,-928903974,-896935596,5706712
1,10407,-942799276,313354815,751634148,1675695626,356366002,-1057370333
1,10407,1433129712,-336540327,-803635109,-277098712,-1380488646,-1728675772
1,10407,-740789456,-1367742621,1372176169,-1140117016,-1764347866,793114785
1,10407,-826104670,-1009058189,-1964061552,1476304342,-65442337,711380395
1,10407,-1436002923,-941070950,499746880,-13696167,-1580905597,516784545
1,10407,598540678,-387480948,-1612215620,-1525785494,1361601737,-939781220
1,10407,465603297,2100494859,-1853242923,-1295873603,451094496,-1414830413
1,10407,-1395170062,-1057681663,-285016001,-981580710,229929890,1097842920
1,10407,-1415895037,704567689,321094019,-864410108,719545893,246855784
1,10407,-1051659305,-968643604,-616295479,1413663528,1588118559,703489109
1,10407,-1551691431,-231324422,-514732655,-713479485,-567068493,-1962899363
1,10407,-1693938744,225080573,1317544124,-862672298,-1687519786,96771335
1,10407,2130569711,-734577050,-618540105,280219809,-1745871309,-1292712510
1,10407,1393301580,-1215415158,494669075,-2015466383,310227861,-143942533
1,10407,947397622,935935165,-448813684,1386083250,-516309334,-1895455874
1,10407,-1568122694,102711870,593341572,2083162699,361544241,1451483189
1,10407,-973014179,1086343616,-1771371262,279392038,-1456703231,-256139496
1,10407,800508150,-1099951258,590852354,1042790387,-161174325,2128877477
1,10407,-1659241792,969582276,1039489418,1938619613,651835071,170014909
1,10407,1791685735,1064552394,259707328,1957418995,-125773678,931885414
1,10407,1172064649,745843896,-397182174,1635956311,-60974641,-1525224500
1,10407,116419592,-1809099887,-870984074,1812526288,-349545006,1250355381
1,10407,1570406858,-470598654,-1326188145,-1177323899,-1080895675,683237621
