sc,n,s2,par,dgm
1,100,50,-1,nonneg
1,500,50,-1,nonneg
1,100,50,-0.9,nonneg
1,500,50,-0.9,nonneg
1,100,50,-0.8,nonneg
1,500,50,-0.8,nonneg
1,100,50,-0.7,nonneg
1,500,50,-0.7,nonneg
1,100,50,-0.6,nonneg
1,500,50,-0.6,nonneg
1,100,50,-0.5,nonneg
1,500,50,-0.5,nonneg
1,100,50,-0.4,nonneg
1,500,50,-0.4,nonneg
1,100,50,-0.3,nonneg
1,500,50,-0.3,nonneg
1,100,50,-0.2,nonneg
1,500,50,-0.2,nonneg
1,100,50,-0.1,nonneg
1,500,50,-0.1,nonneg
1,100,50,0,nonneg
1,500,50,0,nonneg
1,100,50,0.1,nonneg
1,500,50,0.1,nonneg
1,100,50,0.2,nonneg
1,500,50,0.2,nonneg
1,100,50,0.3,nonneg
1,500,50,0.3,nonneg
1,100,50,0.4,nonneg
1,500,50,0.4,nonneg
1,100,50,0.5,nonneg
1,500,50,0.5,nonneg
1,100,50,0.6,nonneg
1,500,50,0.6,nonneg
1,100,50,0.7,nonneg
1,500,50,0.7,nonneg
1,100,50,0.8,nonneg
1,500,50,0.8,nonneg
1,100,50,0.9,nonneg
1,500,50,0.9,nonneg
1,100,50,1,nonneg
1,500,50,1,nonneg
1,100,50,-1,nondecr
1,500,50,-1,nondecr
1,100,50,-0.9,nondecr
1,500,50,-0.9,nondecr
1,100,50,-0.8,nondecr
1,500,50,-0.8,nondecr
1,100,50,-0.7,nondecr
1,500,50,-0.7,nondecr
1,100,50,-0.6,nondecr
1,500,50,-0.6,nondecr
1,100,50,-0.5,nondecr
1,500,50,-0.5,nondecr
1,100,50,-0.4,nondecr
1,500,50,-0.4,nondecr
1,100,50,-0.3,nondecr
1,500,50,-0.3,nondecr
1,100,50,-0.2,nondecr
1,500,50,-0.2,nondecr
1,100,50,-0.1,nondecr
1,500,50,-0.1,nondecr
1,100,50,0,nondecr
1,500,50,0,nondecr
1,100,50,0.1,nondecr
1,500,50,0.1,nondecr
1,100,50,0.2,nondecr
1,500,50,0.2,nondecr
1,100,50,0.3,nondecr
1,500,50,0.3,nondecr
1,100,50,0.4,nondecr
1,500,50,0.4,nondecr
1,100,50,0.5,nondecr
1,500,50,0.5,nondecr
1,100,50,0.6,nondecr
1,500,50,0.6,nondecr
1,100,50,0.7,nondecr
1,500,50,0.7,nondecr
1,100,50,0.8,nondecr
1,500,50,0.8,nondecr
1,100,50,0.9,nondecr
1,500,50,0.9,nondecr
1,100,50,1,nondecr
1,500,50,1,nondecr
